ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-04,53.84242804133705,49.922908202368944,58.948425820358686,53.84242804133705,53.84242804133705,0.7399931961027448,0.7399931961027448,0.7399931961027448,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020954066,-0.06981498020954066,-0.06981498020954066,0.8659312224398451,0.8659312224398451,0.8659312224398451,0.0,0.0,0.0,54.582421237439796
1,2010-01-05,53.8391998476258,50.33430472933564,59.37369664219483,53.8391998476258,53.8391998476258,0.9637514387463825,0.9637514387463825,0.9637514387463825,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616216015,0.13738494616216015,0.13738494616216015,0.8824895387117819,0.8824895387117819,0.8824895387117819,0.0,0.0,0.0,54.802951286372185
2,2010-01-06,53.83597165391455,50.04672848891687,59.31253690203701,53.83597165391455,53.83597165391455,0.8288291874838323,0.8288291874838323,0.8288291874838323,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.009135226536209757,-0.009135226536209757,-0.009135226536209757,0.8940874601476019,0.8940874601476019,0.8940874601476019,0.0,0.0,0.0,54.66480084139838
3,2010-01-07,53.8327434602033,49.8382284706593,59.50060623775919,53.8327434602033,53.8327434602033,0.8061804962002713,0.8061804962002713,0.8061804962002713,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.038384105809037776,-0.038384105809037776,-0.038384105809037776,0.900687648136869,0.900687648136869,0.900687648136869,0.0,0.0,0.0,54.638923956403566
4,2010-01-08,53.829515266492045,49.83194595550125,59.02610102015443,53.829515266492045,53.829515266492045,0.8122400475311761,0.8122400475311761,0.8122400475311761,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.03408134334615971,-0.03408134334615971,-0.03408134334615971,0.9024444370048955,0.9024444370048955,0.9024444370048955,0.0,0.0,0.0,54.64175531402322
5,2010-01-11,53.81983068535829,49.922834407407265,59.36735424012656,53.81983068535829,53.81983068535829,0.7568172876590348,0.7568172876590348,0.7568172876590348,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020955522,-0.06981498020955522,-0.06981498020955522,0.8827553139961498,0.8827553139961498,0.8827553139961498,0.0,0.0,0.0,54.57664797301732
6,2010-01-12,53.816602491647046,50.308955338465,59.42024763498752,53.816602491647046,53.816602491647046,0.9512009673973193,0.9512009673973193,0.9512009673973193,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,0.137384946162036,0.137384946162036,0.137384946162036,0.8699390673628432,0.8699390673628432,0.8699390673628432,0.0,0.0,0.0,54.767803459044366
7,2010-01-13,53.813374297935795,49.85071471327277,59.16955645687097,53.813374297935795,53.813374297935795,0.7900252881280533,0.7900252881280533,0.7900252881280533,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.009135226536466956,-0.009135226536466956,-0.009135226536466956,0.85528356079208,0.85528356079208,0.85528356079208,0.0,0.0,0.0,54.60339958606385
8,2010-01-14,53.81014610422454,50.11498603717051,59.409201459792,53.81014610422454,53.81014610422454,0.7451403822129968,0.7451403822129968,0.7451403822129968,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.038384105809148215,-0.038384105809148215,-0.038384105809148215,0.8396475341497048,0.8396475341497048,0.8396475341497048,0.0,0.0,0.0,54.55528648643754
9,2010-01-15,53.8069179105133,49.81551429710524,59.248614326923935,53.8069179105133,53.8069179105133,0.7336953723166459,0.7336953723166459,0.7336953723166459,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.034081343345999555,-0.034081343345999555,-0.034081343345999555,0.8238997617902053,0.8238997617902053,0.8238997617902053,0.0,0.0,0.0,54.540613282829945
10,2010-01-19,53.79400513566829,50.237177052219884,59.17847051805278,53.79400513566829,53.79400513566829,0.8568679843570809,0.8568679843570809,0.8568679843570809,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616211008,0.13738494616211008,0.13738494616211008,0.7756060843225305,0.7756060843225305,0.7756060843225305,0.0,0.0,0.0,54.65087312002537
11,2010-01-20,53.79077694195704,49.84524875380148,59.23248006560124,53.79077694195704,53.79077694195704,0.7050688869248805,0.7050688869248805,0.7050688869248805,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.009135226536260001,-0.009135226536260001,-0.009135226536260001,0.7703271595887003,0.7703271595887003,0.7703271595887003,0.0,0.0,0.0,54.49584582888192
12,2010-01-21,53.78754874824579,49.70019064557016,59.07844460232184,53.78754874824579,53.78754874824579,0.6740213461672875,0.6740213461672875,0.6740213461672875,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03838410580925866,-0.03838410580925866,-0.03838410580925866,0.7685284981041061,0.7685284981041061,0.7685284981041061,0.0,0.0,0.0,54.46157009441308
13,2010-01-22,53.78432055453454,49.23568835539885,59.089671789396974,53.78432055453454,53.78432055453454,0.6800856530456154,0.6800856530456154,0.6800856530456154,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03408134334643165,-0.03408134334643165,-0.03408134334643165,0.7702900425196069,0.7702900425196069,0.7702900425196069,0.0,0.0,0.0,54.464406207580154
