ID,ds,y
9614,2010-10-04,53.57
9615,2010-10-05,54.0
9616,2010-10-06,54.560001
9617,2010-10-07,54.360001
9618,2010-10-08,54.41
9619,2010-10-11,54.610001
9620,2010-10-12,53.919998
9621,2010-10-13,53.82
9622,2010-10-14,53.25
9623,2010-10-15,53.349998
9624,2010-10-18,53.759998
9625,2010-10-19,53.32
9626,2010-10-20,53.470001
9627,2010-10-21,54.029999
9628,2010-10-22,54.060001
9629,2010-10-25,53.950001
9630,2010-10-26,54.560001
9631,2010-10-27,53.869999
9632,2010-10-28,54.080002
9633,2010-10-29,54.169998
9634,2010-11-01,54.310001
9635,2010-11-02,54.790001
9636,2010-11-03,54.91
9637,2010-11-04,55.360001
9638,2010-11-05,55.200001
9639,2010-11-08,54.91
9640,2010-11-09,55.049999
9641,2010-11-10,54.509998
9642,2010-11-11,54.34
9643,2010-11-12,54.130001
9644,2010-11-15,53.950001
9645,2010-11-16,54.259998
9646,2010-11-17,53.77
9647,2010-11-18,53.98
9648,2010-11-19,54.389999
9649,2010-11-22,54.380001
9650,2010-11-23,53.669998
9651,2010-11-24,54.009998
9652,2010-11-26,53.740002
9653,2010-11-29,53.849998
9654,2010-11-30,54.09
9655,2010-12-01,54.700001
9656,2010-12-02,54.75
9657,2010-12-03,54.619999
9658,2010-12-06,54.490002
9659,2010-12-07,55.09
9660,2010-12-08,54.490002
9661,2010-12-09,54.34
9662,2010-12-10,54.279999
9663,2010-12-13,54.209999
9664,2010-12-14,54.450001
9665,2010-12-15,54.23
9666,2010-12-16,54.630001
9667,2010-12-17,54.41
9668,2010-12-20,53.77
9669,2010-12-21,53.650002
9670,2010-12-22,53.310001
9671,2010-12-23,53.599998
9672,2010-12-27,53.57
9673,2010-12-28,53.740002
9674,2010-12-29,54.080002
9675,2010-12-30,54.07
9676,2010-12-31,53.93
9677,2011-01-03,54.560001
9678,2011-01-04,54.77
9679,2011-01-05,54.41
9680,2011-01-06,53.959999
9681,2011-01-07,54.080002
9682,2011-01-10,53.73
9683,2011-01-11,54.290001
9684,2011-01-12,54.849998
9685,2011-01-13,54.790001
9686,2011-01-14,54.810001
9687,2011-01-18,55.139999
9688,2011-01-19,55.029999
9689,2011-01-20,55.990002
9690,2011-01-21,55.73
9691,2011-01-24,56.049999
9692,2011-01-25,57.259998
9693,2011-01-26,57.32
9694,2011-01-27,57.57
9695,2011-01-28,56.700001
9696,2011-01-31,56.07
9697,2011-02-01,56.330002
9698,2011-02-02,55.860001
9699,2011-02-03,55.919998
9700,2011-02-04,56.029999
9701,2011-02-07,56.07
9702,2011-02-08,56.380001
9703,2011-02-09,56.73
9704,2011-02-10,55.59
9705,2011-02-11,55.689999
9706,2011-02-14,54.799999
9707,2011-02-15,54.950001
9708,2011-02-16,54.549999
9709,2011-02-17,54.75
9710,2011-02-18,55.380001
9711,2011-02-22,53.669998
9712,2011-02-23,53.029999
9713,2011-02-24,52.09
9714,2011-02-25,51.75
9715,2011-02-28,51.98
9716,2011-03-01,52.07
9717,2011-03-02,51.970001
9718,2011-03-03,52.009998
9719,2011-03-04,52.07
9720,2011-03-07,52.02
9721,2011-03-08,52.439999
9722,2011-03-09,52.669998
9723,2011-03-10,52.650002
9724,2011-03-11,52.59
9725,2011-03-14,52.32
9726,2011-03-15,52.060001
9727,2011-03-16,51.380001
9728,2011-03-17,51.369999
9729,2011-03-18,51.52
9730,2011-03-21,51.919998
9731,2011-03-22,52.0
9732,2011-03-23,51.639999
9733,2011-03-24,52.59
