ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
609,2012-06-04,67.02500313742924,60.69787143893372,70.16821885686105,67.02500313742924,67.02500313742924,-1.3630583482445537,-1.3630583482445537,-1.3630583482445537,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020935653,-0.06981498020935653,-0.06981498020935653,-1.237120321907637,-1.237120321907637,-1.237120321907637,0.0,0.0,0.0,65.66194478918469
610,2012-06-05,67.08035772411186,61.407198505713076,70.4398312007153,67.08035772411186,67.08035772411186,-1.1853762804167864,-1.1853762804167864,-1.1853762804167864,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616199529,0.13738494616199529,0.13738494616199529,-1.266638180451222,-1.266638180451222,-1.266638180451222,0.0,0.0,0.0,65.89498144369507
611,2012-06-06,67.13571231079449,61.13938421478673,69.98765215318996,67.13571231079449,67.13571231079449,-1.3707498639733675,-1.3707498639733675,-1.3707498639733675,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.00913522653621822,-0.00913522653621822,-0.00913522653621822,-1.3054915913095888,-1.3054915913095888,-1.3054915913095888,0.0,0.0,0.0,65.76496244682112
612,2012-06-07,67.19106689747713,61.274028155984475,70.46068280379296,67.19106689747713,67.19106689747713,-1.4475358806830578,-1.4475358806830578,-1.4475358806830578,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03838410580899467,-0.03838410580899467,-0.03838410580899467,-1.3530287287465026,-1.3530287287465026,-1.3530287287465026,0.0,0.0,0.0,65.74353101679407
613,2012-06-08,67.24642148415974,60.92419784121107,70.4229870161751,67.24642148415974,67.24642148415974,-1.4985431278888406,-1.4985431278888406,-1.4985431278888406,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.034081343345928626,-0.034081343345928626,-0.034081343345928626,-1.4083387384153514,-1.4083387384153514,-1.4083387384153514,0.0,0.0,0.0,65.7478783562709
614,2012-06-11,67.41248524420763,61.00513402239297,70.77415877397519,67.41248524420763,67.41248524420763,-1.7343212487312722,-1.7343212487312722,-1.7343212487312722,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.0698149802095062,-0.0698149802095062,-0.0698149802095062,-1.6083832223942056,-1.6083832223942056,-1.6083832223942056,0.0,0.0,0.0,65.67816399547635
615,2012-06-12,67.46783983089026,61.3426811874139,70.46268427067358,67.46783983089026,67.46783983089026,-1.6000682558178538,-1.6000682558178538,-1.6000682558178538,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,0.13738494616202412,0.13738494616202412,0.13738494616202412,-1.681330155852318,-1.681330155852318,-1.681330155852318,0.0,0.0,0.0,65.8677715750724
616,2012-06-13,67.52319441757288,61.10592929978837,70.54574253493708,67.52319441757288,67.52319441757288,-1.81977240893436,-1.81977240893436,-1.81977240893436,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.009135226536258803,-0.009135226536258803,-0.009135226536258803,-1.7545141362705408,-1.7545141362705408,-1.7545141362705408,0.0,0.0,0.0,65.70342200863853
617,2012-06-14,67.5785490042555,61.35898928751431,70.41664052878707,67.5785490042555,67.5785490042555,-1.9205821847954503,-1.9205821847954503,-1.9205821847954503,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.03838410580945022,-0.03838410580945022,-0.03838410580945022,-1.8260750328584396,-1.8260750328584396,-1.8260750328584396,0.0,0.0,0.0,65.65796681946006
618,2012-06-15,67.63390359093815,60.9191850338634,70.46655748264496,67.63390359093815,67.63390359093815,-1.9843341713185079,-1.9843341713185079,-1.9843341713185079,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03408134334636072,-0.03408134334636072,-0.03408134334636072,-1.8941297818445868,-1.8941297818445868,-1.8941297818445868,0.0,0.0,0.0,65.64956941961964
