ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,y
0,2016-01-04,54.9724306199274,54.4835535805992,62.562319627832,54.9724306199274,54.9724306199274,3.46638350457574,3.46638350457574,3.46638350457574,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201921746,0.0415615201921746,0.0415615201921746,0.353840981919259,0.353840981919259,0.353840981919259,58.4388141245031,54.5944030524
1,2016-01-05,55.04795415245,54.9207078235397,63.0116869959904,55.04795415245,55.04795415245,3.66984112102388,3.66984112102388,3.66984112102388,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496053,0.317090441496053,0.317090441496053,0.281769677063523,0.281769677063523,0.281769677063523,58.7177952734738,55.8913088197
2,2016-01-06,55.1234776849725,54.6324085928966,62.3752846787379,55.1234776849725,55.1234776849725,3.43265022212662,3.43265022212662,3.43265022212662,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949617031,0.152800949617031,0.152800949617031,0.208868270045281,0.208868270045281,0.208868270045281,58.5561279070992,56.4509325412
3,2016-01-07,55.1990012174951,54.4724193233596,62.1967510821762,55.1990012174951,55.1990012174951,3.3464636959482,3.3464636959482,3.3464636959482,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147579,0.140005182147579,0.140005182147579,0.135477511336315,0.135477511336315,0.135477511336315,58.5454649134433,57.7656041409
4,2016-01-08,55.2745247500177,54.4379910919424,62.6548460742684,55.2745247500177,55.2745247500177,3.2493472864706,3.2493472864706,3.2493472864706,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255485819,0.116287255485819,0.116287255485819,0.0620790285204806,0.0620790285204806,0.0620790285204806,58.5238720364883,56.442049625
5,2016-01-11,55.5010953475855,54.7694140259273,62.329882621343,55.5010953475855,55.5010953475855,2.96084914312575,2.96084914312575,2.96084914312575,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201925855,0.0415615201925855,0.0415615201925855,-0.151693379531136,-0.151693379531136,-0.151693379531136,58.4619444907112,57.0460879275
6,2016-01-12,55.5766188801081,54.9392371369279,62.7482145099703,55.5766188801081,55.5766188801081,3.16978022525686,3.16978022525686,3.16978022525686,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496217,0.317090441496217,0.317090441496217,-0.218291218703656,-0.218291218703656,-0.218291218703656,58.7463991053649,56.5131129547
7,2016-01-13,55.6521424126306,54.6053528571061,62.5663985674591,55.6521424126306,55.6521424126306,2.94255578479481,2.94255578479481,2.94255578479481,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949616724,0.152800949616724,0.152800949616724,-0.281226167286222,-0.281226167286222,-0.281226167286222,58.5946981974254,55.0030171983
8,2016-01-14,55.7276659451532,54.7530089539707,62.617440379722,55.7276659451532,55.7276659451532,2.87126326153909,2.87126326153909,2.87126326153909,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147178,0.140005182147178,0.140005182147178,-0.339722923072388,-0.339722923072388,-0.339722923072388,58.5989292066923,56.0156696467
9,2016-01-15,55.8031894776758,54.6766927159504,62.6766387994423,55.8031894776758,55.8031894776758,2.79419925095575,2.79419925095575,2.79419925095575,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486086,0.116287255486086,0.116287255486086,-0.393069006994636,-0.393069006994636,-0.393069006994636,58.5973887286316,55.0119001145
10,2016-01-19,56.1052836077662,55.1615325516167,62.9616859653672,56.1052836077662,56.1052836077662,2.84345898888667,2.84345898888667,2.84345898888667,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496331,0.317090441496331,0.317090441496331,-0.544612455073967,-0.544612455073967,-0.544612455073967,58.9487425966528,55.571523836
11,2016-01-20,56.1808071402887,54.5761006940797,62.9195653835174,56.1808071402887,56.1808071402887,2.65798192150115,2.65798192150115,2.65798192150115,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949617227,0.152800949617227,0.152800949617227,-0.56580003058038,-0.56580003058038,-0.56580003058038,58.8387890617899,54.0436622471
12,2016-01-21,56.2563306728113,55.1152423335514,62.528771277571,56.2563306728113,56.2563306728113,2.63052293663171,2.63052293663171,2.63052293663171,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147424,0.140005182147424,0.140005182147424,-0.58046324798002,-0.58046324798002,-0.58046324798002,58.886853609443,54.9674855334
13,2016-01-22,56.3318542053339,55.2359562163422,62.5829584606146,56.3318542053339,56.3318542053339,2.5982287955486,2.5982287955486,2.5982287955486,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486059,0.116287255486059,0.116287255486059,-0.589039462401766,-0.589039462401766,-0.589039462401766,58.9300830008825,55.6870017468
14,2016-01-25,56.5584248029017,55.379602833724,63.3638257979892,56.5584248029017,56.5584248029017,2.52678246338165,2.52678246338165,2.52678246338165,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201923962,0.0415615201923962,0.0415615201923962,-0.585760059275048,-0.585760059275048,-0.585760059275048,59.0852072662833,56.362103379
15,2016-01-26,56.6339483354243,55.3600801357795,63.6906785438842,56.6339483354243,56.6339483354243,2.80958674588684,2.80958674588684,2.80958674588684,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496496,0.317090441496496,0.317090441496496,-0.578484698073958,-0.578484698073958,-0.578484698073958,59.4435350813111,56.8506637708
