Date,score,num_comments,Open,High,Low,Close,Adj_Close,Volume,High_Low_pct,ewm_5,price_std_5,volume_Change,volume_avg_5,volume_Close
2020-05-01,3034,186,121.480003,123.690002,120.779999,122,121,10381300,0.21250074479135606,124.87934055151518,3.5637059362410874,-0.23097493944130432,10135360.0,3979801.959645731
2020-05-04,3191,216,123.839996,124.400002,121.709999,123,122,5935900,-0.07560129663096515,123.91955536230581,3.646916505762089,-0.4282122662864959,10288960.0,3969422.804136642
2020-05-06,1911,102,125.209999,125.489998,122.849998,123,121,5769700,-0.01858845510581353,123.61303584251827,2.7018512172212525,-0.02799912397446047,10319580.0,3926328.9179588608
2020-05-07,1018,64,123.459999,123.980003,121.5,121,120,9115200,-0.060604924242425806,123.40869008804218,0.8944271909998964,0.5798395063868138,10091380.0,4197761.428666474
2020-05-08,1178,54,122.75,123.010002,121.620003,122,121,6944400,-0.4395172102614371,122.6057921513795,0.9999999999999826,-0.23815165876777256,8940280.0,3239238.9433322144
2020-05-11,1054,150,123.040001,124.309998,123.010002,123,122,8447300,-0.06475040629526341,122.40386122623542,0.8366600265340616,0.2164189850815046,7629300.0,2035694.3864440948
2020-05-12,804,48,124.480003,125.660004,123.779999,123,122,6366700,0.4461621420373656,122.6025742872921,0.8944271909999028,-0.2463035526144448,7242500.0,1493632.7644370955
2020-05-13,1048,57,123.5,126.239998,123.089996,123,122,9725100,0.6755285225305281,122.73504958551402,0.8944271909999028,0.5274946204470135,7328660.0,1409473.2785689838
2020-05-14,1060,159,124.849998,125.129997,121.300003,123,122,7411000,0.21587033912994302,122.8233664172994,0.8944271909999028,-0.23795128070662508,8119740.0,1425656.888244854
2020-05-18,1505,101,127.5,128.559998,126.099998,127,126,13035900,-0.3577013436574552,122.88224429018038,0.4472135954999317,0.7589933882067197,7778900.0,1328580.3043098298
2020-05-19,1921,98,131.75,131.990005,124.809998,124,123,24915400,1.9187020325203172,124.25482971298717,1.7888543819998253,0.9112911268113442,8997200.0,2577735.7700121244
2020-05-20,2014,138,126.489998,126.589996,124.629997,125,124,10748800,-0.7270199040195928,124.1698864676427,1.7320508075688705,-0.5685881021376338,12290820.0,7507095.385500307
2020-05-21,836,36,124.889999,126.139999,124.25,124,124,7482700,-0.03571430393586594,124.44659099511149,1.673320053068144,-0.3038571747543912,13167240.0,6871462.586887889
2020-05-22,1694,87,125.099998,125.349998,123.769997,124,123,7453200,-0.16402019260328016,124.29772732409083,1.5165750888103022,-0.003942427198738385,12718760.0,7216785.780595126
2020-05-26,1547,94,124.339996,125.510002,123.629997,123,122,7910200,0.18987582919251444,124.1984848800679,1.3038404810405206,0.06131594482906677,12727200.0,7209047.054569695
2020-05-28,2087,99,123.720001,124.949997,123.160004,123,122,8141600,-0.047878596067564505,123.7989899129086,0.7071067811865307,0.02925336906778586,11702060.0,7512241.192746676
2020-05-29,972,137,124.239998,124.709999,121.93,124,123,9772400,0.5530781405290393,123.53265993876722,0.8366600265340681,0.20030460843077535,8347300.0,1373637.426688717
2020-06-01,1775,323,123.440002,124.410004,122.360001,123,123,6850100,-0.26258858366495397,123.688439960415,0.5477225575051548,-0.29903606074249933,8152020.0,951387.8662249167
2020-06-02,2507,169,123.589996,124.150002,122.809998,123,122,6395900,-0.3463404687700432,123.45895997239535,0.5477225575051548,-0.06630560137808206,8025500.0,1094020.7219244067
2020-06-03,949,141,123.900002,123.989998,122.660004,123,122,6754300,-0.007470126954851053,123.30597331439037,0.4472135954999441,0.05603589799715447,7814040.0,1312632.6192046273
2020-06-04,2863,162,122.800003,123.889999,121.82,122,121,8005000,0.5563972469048817,123.20398220935365,0.4472135954999441,0.1851709281494751,7582860.0,1390916.8497793102
2020-06-05,851,26,122.57,122.68,119.910004,121,120,13112400,0.3381629652961151,122.80265480560635,0.7071067811865387,0.6380262336039975,7555540.0,1378484.5494237503
2020-06-08,2362,144,119.58000200000001,121.239998,119.459999,121,120,9448100,-0.35740015509047673,122.20176986977599,0.894427190999909,-0.27945303682010925,8223540.0,2798838.3041897938
2020-06-09,2159,149,121.599998,122.0,120.559998,121,120,6915400,-0.1910096578705921,121.80117991290477,0.9999999999999938,-0.26806447857241134,8743140.0,2720168.76186019
2020-06-10,2035,101,121.559998,122.5,121.129997,121,120,9380500,-0.04861034915229945,121.53411994181242,0.894427190999909,0.3564652803886976,8847040.0,2616027.246226614
2020-06-12,1676,84,120.510002,120.75,117.059998,117,116,10786400,1.6934262187747144,121.35607996115314,0.4472135954999441,0.14987474015244384,9372280.0,2339873.2758420915
2020-06-15,719,60,118.400002,118.68,117.010002,118,117,10901100,-0.5474262615575809,119.90405330713557,1.7888543819998284,0.010633761032411204,9928560.0,2262911.364371128
2020-06-17,784,29,119.860001,120.129997,118.400002,119,118,6722300,0.035926390331003644,119.26936887133633,1.9493588689617896,-0.3833374613571108,9486300.0,1605778.5292499086
2020-06-19,2233,220,118.889999,120.300003,117.75,119,118,13359600,0.47399443350992354,119.17957924754931,1.7888543819998284,0.987355518200616,8941140.0,2028936.8134567423
2020-06-22,1687,53,120.970001,122.089996,120.400002,121,120,9112800,-0.3372580345983922,119.11971949836254,1.4832396974191284,-0.31788376897511905,10229980.0,2427960.14526598
2020-06-23,740,35,122.75,122.849998,120.959999,121,120,6575900,0.11834657401150817,119.74647966560059,1.4832396974191284,-0.2783886401545079,10176440.0,2454185.4092549733
2020-06-24,891,30,120.739998,121.120003,119.58000200000001,120,119,6871600,-0.18518422496520526,120.16431977707843,1.3416407864998863,0.044967228820389504,9334340.0,2878292.8591441144
2020-06-25,889,48,119.760002,120.160004,118.379997,119,118,6856600,0.15584795074809032,120.1095465180513,1.000000000000028,-0.0021828977239652936,8528440.0,2894013.497376956
2020-06-29,2354,116,118.5,119.68,118.220001,119,118,5503800,-0.17977906828455592,119.7396976786964,1.000000000000028,-0.19729895283376597,8555300.0,2873610.815681205
2020-07-02,1501,33,120.089996,120.879997,118.860001,119,118,5898600,0.3835598517533174,119.49313178579563,1.000000000000028,0.07173225771285296,6984140.0,1315122.761570189
2020-07-06,2120,215,119.800003,119.870003,118.220001,118,117,7231700,-0.1831657092390303,119.32875452386286,0.8944271909999345,0.22600278032075405,6341300.0,612204.8023333368
2020-07-07,1701,128,118.449997,127.550003,118.220001,126,125,31152700,4.654539812679017,118.88583634924032,0.7071067811865469,3.307797613285949,6472460.0,733304.0215354066
2020-07-09,2100,108,125.610001,128.179993,124.949997,127,126,14257200,-0.6538054332678602,121.25722423283256,3.2710854467592356,-0.5423446442844441,11328680.0,11103957.73393433
2020-07-10,725,97,128.740005,131.369995,127.260002,130,129,14745600,0.272445229034336,123.17148282189143,4.324349662087938,0.034256375725949084,12808800.0,10849129.725696895
2020-07-13,1416,64,131.330002,133.630005,128.889999,129,128,14112800,0.1532880956245024,125.44765521459671,5.244044240850776,-0.04291449652777779,14657160.0,10051373.774415117
2020-07-14,1016,37,129.279999,132.5,129.029999,132,130,8818600,-0.2679332051478458,126.63177014306531,4.743416490252601,-0.3751346295561476,16300000.0,8862981.96460988
2020-07-15,2240,206,132.270004,134.130005,130.800003,132,130,10577100,-0.040345521514255744,128.42118009537774,2.3874672772627616,0.19940806930805333,16617380.0,8477078.328763986
2020-07-16,1187,64,132.050003,132.729996,131.240005,132,131,5892200,-0.5525555239906763,129.61412006358555,2.121320343559768,-0.44292859101265947,12502260.0,2644892.241283187
2020-07-17,2227,76,133.369995,133.369995,131.470001,131,130,6063200,0.27517146076720467,130.40941337572386,1.4142135623733036,0.029021418146023548,10829260.0,3694599.2229198553
2020-07-21,1644,291,131.559998,133.990005,131.449997,132,131,7240400,0.3368505374227553,130.60627558381591,1.3038404810407602,0.19415490170207161,9092780.0,3424217.014442864
2020-07-22,834,77,132.570007,133.029999,131.190002,132,131,5388200,-0.27559401387711735,131.07085038921065,0.4472135955007061,-0.2558145958786807,7718300.0,1980264.0707744006
2020-07-23,729,26,133.0,133.149994,131.309998,131,130,5598800,-5.434791610081646e-07,131.38056692614046,0.4472135955007061,0.03908540885638989,7032220.0,2094693.3097711464
2020-07-27,1979,111,130.860001,131.979996,130.860001,131,130,4681900,-0.39130574196900547,131.25371128409364,0.5477225575057563,-0.16376723583625064,6036560.0,721592.8131571156
2020-07-28,1889,212,131.5,132.380005,130.919998,131,130,4804700,0.30358349814064645,131.16914085606243,0.5477225575057355,0.02622866784852307,5794500.0,949221.1860256807
